rank,score,role,editorial_bucket,title,primary_phylum,primary_genus,matched_groups,inputs,outputs,claims,strategic_note,paper_url,paper_arxiv_id,abstract
44,100,core trend paper,A. thesis anchor: dynamic/4D recon,GeoWorld: Geometric World Models,3D Vision & Geometry,3D Reconstruction,general_reconstruction; dynamic_4d; surface_occupancy; robotics_mapping; generation_editing,video / temporal,mesh / surface; editable / generative 3D,dynamic; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Energy-based predictive world models provide a powerful approach for multi-step visual planning by reasoning over latent energy landscapes rather than generating pixels. However, existing approaches face two major challenges: (i) their latent representations are typically learned in Euclidean space, neglecting the underlying geometric and hierarchical structure among states, and (ii) they struggle with long-horizon prediction, which leads to rapid degradation across extended rollouts. To address these challenges, we introduce GeoWorld, a geometric world model that preserves geometric structure and hierarchical relations through a Hyperbolic JEPA, which maps latent representations from Euclidean space onto hyperbolic manifolds. We further introduce Geometric Reinforcement Learning for energy-based optimization, enabling stable multi-step planning in hyperbolic latent space. Extensive experiments on CrossTask and COIN demonstrate around 3% SR improvement in 3-step planning and 2% SR improvement in 4-step planning compared to the state-of-the-art V-JEPA-2."
45,100,core trend paper,A. thesis anchor: dynamic/4D recon,Inferring Compositional 4D Scenes without Ever Seeing One,3D Vision & Geometry,3D Reconstruction,general_reconstruction; dynamic_4d; surface_occupancy; data_benchmark,single image; video / temporal,mesh / surface; 4D scene,robustness; dynamic; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Scenes in the real world are often composed of several static and dynamic objects. Capturing their 4-dimensional structures, composition and spatio-temporal configuration in-the-wild, though extremely interesting, is equally hard.Therefore, existing works often focus on one object at a time, while relying on some category-specific parametric shape model for dynamic objects. This can lead to inconsistent scene configurations, in addition to being limited to the modeled object categories. We propose COM4D (Compositional 4D), a method that consistently and jointly predicts the structure and spatio-temporal configuration of 4D/3D objects using only static multi-object or dynamic single object supervision. We achieve this by a carefully designed training of spatial and temporal attentions on 2D video input. The training is disentangled into learning from object compositions on the one hand, and single object dynamics throughout the video on the other, thus completely avoiding reliance on 4D compositional training data.At inference time, our proposed attention mixing mechanism combines these independently learned attentions, without requiring any 4D composition examples.By alternating between spatial and temporal reasoning, COM4D reconstructs complete and persistent 4D scenes with multiple interacting objects directly from monocular videos.COM4D provides state-of-the-art results in existing separate problems of 4D object and composed 3D reconstruction despite being purely data-driven."
46,100,core trend paper,A. thesis anchor: dynamic/4D recon,MoRe: Motion-aware Feed-forward 4D Reconstruction Transrformer,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; dynamic_4d; surface_occupancy; data_benchmark,single image; video / temporal,camera pose; mesh / surface; 4D scene,unified pipeline; efficiency; scale; robustness; dynamic,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Reconstructing dynamic 4D scenes remains challenging due to the presence of moving objects that corrupt camera pose estimation. Existing optimization methods alleviate this issue with additional supervision, but they are mostly computationally expensive and impractical in real-time applications. To address these limitations, we propose MoRe, a feedforward 4D reconstruction network that efficiently recovers dynamic 3D scenes from monocular videos. Built upon a strong static reconstruction backbone, MoRe employs an attention-forcing strategy to disentangle dynamic motion from static structure. To further enhance robustness, we fine-tune the model on large-scale, diverse datasets encompassing both dynamic and static scenes. Moreover, our grouped causal attention captures temporal dependencies and adapts to varying token lengths across frames, ensuring temporally coherent geometry reconstruction. Extensive experiments on multiple benchmarks demonstrate that MoRe achieves high-quality dynamic reconstructions with exceptional efficiency."
47,100,core trend paper,A. thesis anchor: dynamic/4D recon,Neu-PiG: Neural Preconditioned Grids for Fast Dynamic Surface Reconstruction on Long Sequences,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; dynamic_4d; surface_occupancy,video / temporal,point map / point cloud; mesh / surface; 4D scene,foundation/prior; efficiency; dynamic,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"emporally consistent surface reconstruction of dynamic 3D objects from unstructured point cloud data remains challenging, especially for very long sequences. Existing methods either optimize deformations incrementally, risking drift and requiring long runtimes, or rely on complex learned models that demand category-specific training. We present Neu-PiG, a fast optimization method based on a novel preconditioned surface encoding that estimates coherent non-rigid deformations without sacrificing temporal stability or accuracy. Our method encodes entire deformations across all time steps at various spatial scales into a multi-resolution latent grid, parameterized by the position and normal direction of a reference surface from a single keyframe. This latent representation is then augmented for time modulation and decoded into per-frame 6-DoF deformations via a lightweight multi-layer perceptron (MLP). To achieve high-fidelity, drift-free surface reconstructions in seconds, we employ Sobolev preconditioning during gradient-based training of the latent space, completely avoiding the need for any explicit correspondences or further priors. Experiments across diverse human and animal datasets demonstrate that Neu-PiG outperforms state-the-art approaches, offering both superior accuracy and scalability to long sequences while running at least 60× faster than existing training-free methods and even matching the inference-time performance of heavy pretrained models."
48,100,core trend paper,A. thesis anchor: dynamic/4D recon,NeuROK: Generative 4D Neural Object Kinematics,3D Vision & Geometry,3D Reconstruction,general_reconstruction; dynamic_4d; surface_occupancy; robotics_mapping; data_benchmark,video / temporal,mesh / surface; 4D scene; editable / generative 3D,foundation/prior; scale; dynamic; benchmark/data; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Data-driven approaches have revolutionized 3D vision, enabling transformers to effectively reconstruct and generate static 3D objects. However, generating simulative 4D dynamics---realistic temporal deformations of static objects under various physical conditions---remains challenging and often ad hoc despite being critical for building comprehensive 3D world models. Most existing methods assume a predefined physical model and use system identification to estimate parameters, restricting these methods to specific categories and small-scale datasets. We propose that these restrictions can be overcome by learning a data-driven kinematic state parameterization for object-centric physical systems. Specifically, we learn both a latent space of all possible states of the object and a decoder that maps any sampled latent to a plausibly deformed shape of the object. We refer to this parameterization as Neural Object Kinematics (NeuROK), and learn a transformer-based encoder-decoder model on a curated large-scale 4D dataset. This formulation and the learned model significantly simplify the generation of simulative dynamics since we only need to consider the dynamics within a low-dimensional latent space from the Lagrangian mechanics' perspective in classical physics. We demonstrate the effectiveness and generality of this framework across diverse dynamic object types, showing clear advantages over prior works."
49,100,core trend paper,A. thesis anchor: dynamic/4D recon,Order Matters: 3D Shape Generation from Sequential VR Sketches,3D Vision & Geometry,3D Reconstruction,general_reconstruction; dynamic_4d; surface_occupancy; data_benchmark,video / temporal,mesh / surface; editable / generative 3D,foundation/prior; efficiency; dynamic; benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"VR sketching lets users explore and iterate on ideas directly in 3D, offering a faster and more intuitive alternative to conventional CAD software. However, existing sketch-to-shape models ignore the temporal ordering of strokes, discarding crucial cues about structure and design intent. We introduce VRSketch2Shape, the first framework and multi-category dataset for 3D shape generation from sequential VR sketches. Our contributions are threefold: (i) an automated pipeline that generates ordered VR sketches from arbitrary shapes, (ii) a dataset comprising over 20k synthetic and 900 hand-drawn sketch–shape pairs across four categories, and (iii) an order-aware sketch encoder coupled with a diffusion-based 3D generator. Our approach yields higher geometric fidelity than prior work and generalizes effectively from synthetic to real sketches with minimal supervision. All data and models will be released in open access."
50,100,core trend paper,A. thesis anchor: dynamic/4D recon,PatchScene: Patch-based Voxel Diffusion Model for Large-Scale Scene Completion,3D Vision & Geometry,3D Reconstruction,general_reconstruction; dynamic_4d; surface_occupancy; robotics_mapping; data_benchmark,video / temporal; LiDAR / driving,mesh / surface; occupancy / voxel; editable / generative 3D,foundation/prior; unified pipeline; scale; dynamic; benchmark/data; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"We propose PatchScene, a novel diffusion-based framework for large-scale LiDAR scene completion. Unlike existing methods that rely on global latent representations or dense voxel grids, PatchScene adopts a patch-based voxel diffusion paradigm that explicitly generates fine-grained geometry within localized 3D regions. To ensure coherent reconstruction at both spatial and temporal scales, we introduce a confidence-guided spatio-temporal fusion mechanism that integrates overlapping patches and adjacent frames in a unified generative process. Furthermore, we design an Annular-Flow diffusion strategy that leverages the radial density pattern of LiDAR scans to progressively propagate high-fidelity information from near-range to far-range regions, enabling spatially unbounded scene completion. Extensive experiments on the SemanticKITTI benchmark demonstrate that PatchScene achieves state-of-the-art performance across all standard metrics, surpassing previous approaches in both geometric accuracy and temporal consistency. Remarkably, the model trained on 20 m LiDAR ranges generalizes effectively to 50 m scenes without retraining, highlighting its strong scalability and generalization capability for real-world autonomous driving applications."
51,100,core trend paper,A. thesis anchor: dynamic/4D recon,ReFlow: Self-correction Motion Learning for Dynamic Scene Reconstruction,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; dynamic_4d; surface_occupancy,single image; multi-view images; video / temporal,mesh / surface; 4D scene,unified pipeline; robustness; dynamic,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"We present ReFlow, a unified framework for monocular dynamic scene reconstruction that learns 3D motion in a novel self-correction manner from raw video. Existing methods often suffer from incomplete scene initialization for dynamic regions, leading to unstable reconstruction and motion estimation, which often resorts to external dense motion guidance such as pre-computed optical flow to further stabilize and constrain the reconstruction of dynamic components. However, this introduces additional complexity and potential error propagation.To address these issues, ReFlow integrates a Complete Canonical Space Construction module for enhanced initialization of both static and dynamic regions, and a Separation-Based Dynamic Scene Modeling module that decouples static and dynamic components for targeted motion supervision.The core of ReFlow is a novel self-correction flow matching mechanism, consisting of Full Flow Matching to align 3D scene flow with time-varying 2D observations, and Camera Flow Matching to enforce multi-view consistency for static objects. Together, these modules enable robust and accurate dynamic scene reconstruction.Extensive experiments across diverse scenarios demonstrate that ReFlow achieves superior reconstruction quality and robustness, establishing a novel self-correction paradigm for monocular 4D reconstruction."
52,100,core trend paper,A. thesis anchor: dynamic/4D recon,ReGenHOI: Unifying Reconstruction and Generation for 3D Human–Object Interaction Understanding,3D Vision & Geometry,3D Reconstruction,general_reconstruction; dynamic_4d; surface_occupancy; generation_editing,video / temporal,mesh / surface; editable / generative 3D,unified pipeline; dynamic; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Understanding 3D human–object interaction (HOI) involves two highly-related abilities: reconstruction, which perceives observed geometry, and generation, which imagines plausible future interactions. However, most existing methods treat these abilities as separate tasks, limiting their capacity to capture the unified nature of human spatial reasoning. To address this, we propose a unified framework that bridges reconstruction and generation through a shared semantic–geometric reasoning space. Specifically, a 3D Contact Reasoning mechanism enables direct reasoning in 3D space, jointly modeling geometric structure and semantic relationships, while a Reasoning Trace Refinement module iteratively refines contact predictions by integrating geometric and semantic cues. The framework builds a unified latent representation via explicit reasoning on human–object contact regions. To further enhance realism and physical plausibility when generating the outputs of reconstruction and generation, we modify and adapt the Gravity-Field Based Diffusion Bridge to refine fine-grained contact geometry and ensure smooth, physically consistent human–object engagement. Extensive experiments demonstrate that our unified framework significantly improves both reconstruction accuracy and generative interaction quality, establishing a cohesive and interpretable paradigm for 3D HOI understanding."
53,100,core trend paper,A. thesis anchor: dynamic/4D recon,Revisiting Monocular SLAM with Spatio-Temporal Scene Modeling,3D Vision & Geometry,Pose Estimation,general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy,single image; video / temporal,camera pose; mesh / surface,unified pipeline; efficiency; dynamic,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Visual SLAM is one of the most fundamental problems in computer vision, with direct applications to real-time localization tasks such as AR/VR, robotics, and 3D scene reconstruction. Although significant progress has been made in both sparse and dense approaches, real-time monocular SLAM remains challenging—particularly in the uncalibrated setting, where existing methods are often inefficient and lack modularity. In this paper, we present a new visual SLAM pipeline implemented from scratch in C++ that explicitly leverages the spatio-temporal structure of the scene for improved localization, and is designed to be modular so that off-the-shelf components can be easily integrated. We introduce a temporal representation based on a buffer of recent keyframes that preserves short-term scene continuity. To complement this, we incorporate a spatial representation based on a 3D cell-based scene model, enabling efficient retrieval of relevant 3D points from previously reconstructed regions. Leveraging recent feed-forward geometry estimators, our hybrid design combines sparse keypoint-based localization with a dense anchor-point–driven spatial representation. This integration allows us to achieve real-time performance (exceeding 80 FPS) and a substantial efficiency improvement compared to existing uncalibrated monocular SLAM pipelines, while maintaining or improving localization accuracy."
54,100,core trend paper,A. thesis anchor: dynamic/4D recon,Spatia: Video Generation with Updatable Spatial Memory,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; dynamic_4d; surface_occupancy; generation_editing,video / temporal,point map / point cloud; mesh / surface; editable / generative 3D,scale; dynamic; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Existing video generation models struggle to maintain long-term spatial and temporal consistency due to the dense, high-dimensional nature of video signals. To overcome this limitation, we propose Spatia, a spatial memory–aware video generation framework that explicitly preserves a 3D scene point cloud as persistent spatial memory. Spatia iteratively generates video clips conditioned on this spatial memory and continuously updates it through visual SLAM. This dynamic–static disentanglement design enhances spatial consistency throughout the generation process while preserving the model’s ability to produce realistic dynamic entities. Furthermore, Spatia enables applications such as explicit camera control and 3D-aware interactive editing, providing a geometrically grounded framework for scalable, memory-driven video generation."
55,100,core trend paper,A. thesis anchor: dynamic/4D recon,StereoWorld: Geometry-Aware Monocular-to-Stereo Video Generation,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; dynamic_4d; surface_occupancy; generation_editing; data_benchmark,single image; video / temporal,mesh / surface; editable / generative 3D,foundation/prior; unified pipeline; efficiency; scale; dynamic; benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"The growing adoption of XR devices has fueled strong demand for high-quality stereo video, yet its production remains costly and artifact-prone.To address this challenge, we present **StereoWorld**, an **end-to-end framework** that repurposes a pretrained video generator for high-fidelity monocular-to-stereo video generation. Our framework jointly conditions the model on the monocular video input while explicitly supervising the generation with a **geometry-aware regularization** to ensure 3D structural fidelity.A spatio-temporal tiling scheme is further integrated to enable efficient, high-resolution synthesis.To enable large-scale training and evaluation, we curate a **high-definition stereo video dataset** containing over 11M frames aligned to natural human interpupillary distance (IPD).Extensive experiments demonstrate that StereoWorld substantially outperforms prior methods, generating stereo videos with superior visual fidelity and geometric consistency."
56,100,core trend paper,A. thesis anchor: dynamic/4D recon,Tokenizing Vector Animation for Autoregresive Generation,3D Vision & Geometry,3D Reconstruction,general_reconstruction; dynamic_4d; surface_occupancy; generation_editing; data_benchmark,video / temporal; multimodal / language,mesh / surface; editable / generative 3D,foundation/prior; scale; dynamic; benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Despite rapid progress in video generation, existing models are incapable of producing vector animation, a dominant and highly expressive form of multimedia on the Internet. Vector animations offer resolution-independence, compactness, semantic structure, and editable parametric motion representations, yet current generative models operate exclusively in raster space and thus cannot synthesize them. Meanwhile, recent advances in large multimodal models demonstrate strong capabilities in generating structured data such as slides , 3D meshes , LEGO sequences , and indoor layouts , suggesting that native vector animation generation may be achievable. In this work, we present the first framework for tokenizing and autoregressively generating vector animations. We adopt Lottie, a widely deployed JSON-based animation standard, and design a tailored Lottie Tokenizer that encodes layered geometric primitives, transforms, and keyframe-based motion into a compact and semantically aligned token sequence. To support large-scale training, we also construct \textbf{LottieAnimation-660K}, the largest and most diverse vector animation dataset to date, consisting of 660k real-world Lottie animation and 15M static Lottie image files curated from broad Internet sources. Building upon these components, we finetune Qwen-VL to create \textbf{LottieGPT}, a native multimodal model capable of generating coherent, editable vector animations directly from natural language or visual prompts. Experiments show that our tokenizer dramatically reduces sequence length while preserving structural fidelity, enabling effective autoregressive learning of dynamic vector content. LottieGPT exhibits strong generalization across diverse animation styles and outperforms previous state-of-the-art models on SVG generation (a special case of single-frame vector animation)."
57,100,core trend paper,A. thesis anchor: dynamic/4D recon,Towards Visual Query Localization in the 3D World,3D Vision & Geometry,3D Reconstruction,general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy; data_benchmark,video / temporal; RGB-D / depth; multimodal / language,camera pose; depth / normals; point map / point cloud; mesh / surface,dynamic; benchmark/data,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Visual query localization (VQL) aims to predict a spatial-temporal response of the most recent occurrence from a sequence given a query. Currently, most research focuses on visual query localization from 2D videos, while its counterpart in 3D space has received little attention. In this paper, we make the first attempt to visual query localization in the 3D world by introducing a novel benchmark, dubbed 3DVQL. Specifically, 3DVQL contains 2,002 sequences with around 170,000 frames and 6.4K response track segments from 38 object categories. Each sequence in 3DVQL is provided with multiple modalities including point clouds (PC), RGB and depth images to support flexible research. To ensure high-quality annotation, each sequence is manually annotated with multiple rounds of verification and refinement. To our best knowledge, 3DVQL is the first benchmark towards 3D multimodal visual query localization. To facilitate comparison for subsequent research, we implement a series of representative 3D multimodal VQL baselines using PC and RGB. The experimental results show that existing methods exhibit significant performance variations across different fusion modules. To encourage future research, we propose a lift and attention fusion algorithm named LaF, which significantly outperforms than existing baseline models. Our benchmark and model will be publicly released."
58,100,core trend paper,A. thesis anchor: dynamic/4D recon,VABench: A Comprehensive Benchmark for Audio-Video Generation,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; dynamic_4d; surface_occupancy; generation_editing; data_benchmark,video / temporal; multimodal / language,mesh / surface; editable / generative 3D,dynamic; benchmark/data; editing/generation,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Recent advances in video generation have been remarkable, enabling models to produce visually compelling videos with synchronized audio. While existing video generation benchmarks provide comprehensive metrics for visual quality, they lack convincing evaluations for audio-video generation, especially for models aiming to generate synchronized audio-video outputs. To address this gap, we introduce VABench, a comprehensive and multi-dimensional benchmark framework designed to systematically evaluate the capabilities of synchronous audio-video generation. VABench encompasses three primary task types: text-to-audio-video (T2AV), image-to-audio-video (I2AV), and stereo audio-video generation. It further establishes two major evaluation modules covering 15 dimensions. These dimensions specifically assess pairwise similarities (text-video, text-audio, video-audio), audio-video synchronization, lip-speech consistency, and carefully curated audio and video question-answering (QA) pairs, among others. Furthermore, VABench covers seven major content categories: animals, human sounds, music, environmental sounds, synchronous physical sounds, complex scenes, and virtual worlds.  We provide a systematic analysis and visualization of the evaluation results, aiming to establish a new standard for assessing video generation models with synchronous audio capabilities and to promote the comprehensive advancement of the field."
59,100,core trend paper,A. thesis anchor: dynamic/4D recon,Vista4D: Video Reshooting with 4D Point Clouds,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; dynamic_4d; surface_occupancy; data_benchmark,multi-view images; video / temporal; RGB-D / depth,depth / normals; point map / point cloud; mesh / surface; 4D scene,robustness; dynamic,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"We present **Vista4D**, a robust and flexible video reshooting framework that grounds the input video and target cameras in a 4D point cloud. Specifically, given an input video, our method re-synthesizes the scene with the same dynamics from a different camera trajectory and viewpoint. Existing video reshooting methods often struggle with depth estimation artifacts of real-world dynamic videos, while also failing to preserve content appearance and maintain precise camera control for challenging new trajectories. We build a 4D-grounded point cloud representation with static pixel segmentation and 4D reconstruction to explicitly preserve seen content and provide rich camera signals, and we train with reconstructed multiview dynamic data for robustness against point cloud artifacts during real-world inference. Our results demonstrate improved 4D consistency, camera control, and visual quality compared to state-of-the-art baselines under a variety of videos and camera paths. Moreover, our method generalizes to real-world applications such as dynamic scene expansion and 4D scene recomposition. Results are best viewed as videos in the Supplement."
60,100,core trend paper,A. thesis anchor: dynamic/4D recon,WorldStereo: Bridging Controllable Video Generation and Scene Reconstruction via 3D Geometric Memories,3D Vision & Geometry,3D Reconstruction,general_reconstruction; depth_correspondence; dynamic_4d; surface_occupancy; robotics_mapping; generation_editing,multi-view images; video / temporal; panorama,point map / point cloud; mesh / surface; editable / generative 3D,foundation/prior; dynamic; editing/generation,"Use for the robotics/SLAM angle: reconstruction becomes a map or world model, not just a visual asset.",,,"Recent advances in foundational Video Diffusion Models (VDMs) have yielded significant progress. Yet, despite the remarkable visual quality of generated videos, reconstructing consistent 3D scenes from these outputs remains challenging, due to limited camera controllability and inconsistent generated content when viewed from distinct camera trajectories.In this paper, we propose WorldStereo, a novel framework that bridges camera-guided video generation and 3D reconstruction via two dedicated geometric memory modules. Formally, the global-geometric memory enables precise camera control while injecting coarse structural priors through incrementally updated point clouds.Moreover, the spatial-stereo memory constrains the model's attention receptive fields with 3D correspondence to focus on fine-grained details from the memory bank.These components enable WorldStereo to generate multi-view-consistent videos under precise camera control, facilitating high-quality 3D reconstruction.Furthermore, the flexible control branch-based WorldStereo shows impressive efficiency, benefiting from the distribution matching distilled VDM backbone without joint training.Extensive experiments across both camera-guided video generation and 3D reconstruction benchmarks demonstrate the effectiveness of our approach. Notably, we show that WorldStereo acts as a powerful world model, tackling diverse scene generation tasks (whether starting from perspective or panoramic images) with high-fidelity 3D results. Models will be released."
61,100,core trend paper,A. thesis anchor: representation shift,3D Gaussian Splatting with Self-Constrained Prior for High Fidelity Surface Reconstruction,3D Vision & Geometry,3D Gaussian Splatting,general_reconstruction; gaussian_radiance; depth_correspondence; surface_occupancy; data_benchmark,RGB-D / depth,depth / normals; Gaussian map; mesh / surface; radiance field / NVS,foundation/prior; benchmark/data,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Rendering 3D surfaces has been revolutionized within the modeling of radiance fields through either 3DGS or NeRF. Although 3DGS has shown advantages over NeRF in terms of rendering quality or speed, there is still room for improvement in recovering high fidelity surfaces through 3DGS. To resolve this issue, we propose a self-constrained prior to constraining the movement of 3D Gaussians, aiming for more accurate depth rendering. Our self-constrained prior is a TSDF grid fused by the rendered depth during the learning of 3D Gaussians. The prior measures a band on both sides of the estimated surface for imposing more specific constraints on the right 3D Gaussians, such as removing 3D Gaussians outside the band, encouraging larger opacity for Gaussians near the center of the band or smaller opacity for Gaussians near the boundary of the band. We regularly update the prior by fusing more recent depth images which are usually more accurate, and progressively narrow the band to tighten the constraint on Gaussian movements. We justify our idea and report our superiority over the state-of-the-art methods in evaluations on widely used benchmarks."
62,100,core trend paper,A. thesis anchor: representation shift,4DEquine: Disentangling Motion and Appearance for 4D Equine Reconstruction from Monocular Video,3D Vision & Geometry,3D Reconstruction,general_reconstruction; gaussian_radiance; dynamic_4d; surface_occupancy; data_benchmark,single image; multi-view images; video / temporal,Gaussian map; mesh / surface; 4D scene,unified pipeline; scale; dynamic; benchmark/data,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"4D reconstruction of equine family (e.g. horses) from monocular video is important for animal welfare. Previous mainstream 4D animal reconstruction methods require joint optimization of motion and appearance over a whole video, which is time-consuming and sensitive to incomplete observation. In this work, we propose a novel framework called 4DEquine by disentangling the 4D reconstruction problem into two sub-problems: dynamic motion reconstruction and static appearance reconstruction. For motion, we introduce a simple yet effective spatio-temporal transformer with a post-optimization stage to regress smooth and pixel-aligned pose and shape sequences from video. For appearance, we design a novel feed-forward network that reconstructs a high-fidelity, animatable 3D Gaussian avatar from as few as a single image. To assist training, we create a large-scale synthetic motion dataset, VarenPoser, which features high-quality surface motions and diverse camera trajectories, as well as a synthetic appearance dataset, VarenTex, comprising realistic multi-view images generated through multi-view diffusion. While training only on synthetic datasets, 4DEquine achieves state-of-the-art performance on real-world APT36K and AiM datasets, demonstrating the superiority of 4DEquine and our new datasets for both geometry and appearance reconstruction. Comprehensive ablation studies validate the effectiveness of both the motion and appearance reconstruction network. Code and data will be released."
63,100,core trend paper,A. thesis anchor: representation shift,ActivePolicy: Active Gaussian Reconstruction and Optimization Strategy Based on Global-Local Information Gain,3D Vision & Geometry,3D Gaussian Splatting,general_reconstruction; gaussian_radiance; depth_correspondence; dynamic_4d; surface_occupancy,sparse multi-view; RGB-D / depth; multimodal / language,depth / normals; Gaussian map; mesh / surface; radiance field / NVS; 4D scene,foundation/prior; dynamic,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Active 3D Gaussian reconstruction achieves superior completeness and rendering quality by intelligently selecting viewpoints. However, existing methods suffer from two critical limitations: information gain metrics that prioritize geometric coverage while ignoring rendering quality, and overfitting to sparse view configurations that degrades novel view synthesis. We introduce ActivePolicy, a novel framework addressing both challenges through principled NBV selection and regularization. We propose \textbf{GL-Graph}, a graph-theoretic strategy that unifies geometric consistency, rendering quality, and observation redundancy into a single stability criterion. To counteract overfitting, we introduce \textbf{4D-Reg}, which identifies floaters through manifold discrepancies among three depth types (R-Depth, $\alpha$-Depth, C-Depth) and suppresses them via adaptive dropout. Extensive experiments demonstrate state-of-the-art reconstruction completeness and rendering fidelity on standard benchmarks."
64,100,core trend paper,A. thesis anchor: representation shift,AeroGS: Scale-Aware Gaussian Splatting for Pose-Free Dynamic UAV Scene Reconstruction,3D Vision & Geometry,3D Gaussian Splatting,general_reconstruction; gaussian_radiance; pose_calibration_localization; dynamic_4d; surface_occupancy,single image; video / temporal; multimodal / language,camera pose; Gaussian map; mesh / surface; radiance field / NVS; 4D scene,unified pipeline; dynamic,Use as evidence that Gaussian/radiance representations are moving from static NVS toward dynamic scene models.,,,"Monocular UAV videos pose a fundamental challenge for 3D reconstruction: dynamic scene modeling requires accurate camera poses, yet recovering poses from long UAV trajectories often fails under texture-sparse regions and moving objects.Existing approaches typically handle either pose-free static reconstruction or dynamic reconstruction with known poses, but jointly solving both from casual aerial footage remains difficult due to motion coupling and severe scale variation.We introduce \modelname, a scale-aware Gaussian splatting framework that jointly recovers camera trajectories and reconstructs dynamic scenes from pose-free monocular videos.Central to our method are scale-aware spatio-temporal anchors (S$^2$A-Anchors), which enable a unified optimization via three key decoupling mechanisms:(i) separating ego-motion from object motion,(ii) isolating static geometry from temporal deformation, and(iii) adapting scale between distant terrain and nearby objects.This design effectively stabilizes optimization under large motion and scale imbalance.Extensive experiments on UAV and driving benchmarks show that \modelname~achieves state-of-the-art rendering quality (PSNR/LPIPS), precise trajectory recovery (ATE/RPE), and faithful motion reconstruction, consistently surpassing recent pose-free baselines."
65,100,core trend paper,A. thesis anchor: representation shift,AnchorSplat: Feed-Forward 3D Gaussian Splatting With 3D Geometric Priors,3D Vision & Geometry,3D Gaussian Splatting,general_reconstruction; gaussian_radiance; depth_correspondence; surface_occupancy; data_benchmark,multi-view images; RGB-D / depth,depth / normals; point map / point cloud; Gaussian map; radiance field / NVS,foundation/prior; unified pipeline; benchmark/data,Read early; it likely changes the framing of the 3D reconstruction cluster.,,,"Scene-level 3D reconstruction has attracted increasing attention, and feed-forward 3D Gaussian Splatting (3DGS) has emerged as a promising paradigm for novel view synthesis. However, most existing methods adopt a pixel-aligned formulation that maps each 2D pixel to a 3D Gaussian, making the number of Gaussians tightly coupled with the input images. This leads to several limitations: (i) reconstruction quality is sensitive to the quantity and viewpoint coverage of input images, often causing Gaussians to accumulate more densely in regions with frequent viewpoints; (ii) alignment errors become more pronounced under sparse-view conditions; and (iii) the lack of explicit geometric consistency can degrade depth estimation and downstream 3D tasks. In this paper, we propose AnchorSplat, a novel multi-view feed-forward 3DGS framework for scene-level reconstruction that departs from pixel-aligned prediction and instead represents the scene directly in 3D space. AnchorSplat introduces anchor-aligned Gaussians guided by geometric priors (e.g., sparse point clouds, voxels, or RGB-D point clouds), enabling a more geometry-aware representation that is independent of image resolution and number of views. This design substantially reduces the number of required Gaussians, improving computational efficiency while enhancing reconstruction fidelity. The framework is trained in two stages: a Gaussian decoder first predicts anchor-aligned Gaussians, and a subsequent Gaussian refiner further improves their quality and view consistency. Experiments on the ScanNet benchmark demonstrate that AnchorSplat achieves state-of-the-art performance, producing more view-consistent and plausible 3D Gaussian reconstructions. Code, videos, and pretrained models will be released on the project page."
